1	9	7	5
2	22	20	5
3	29	20	5
4	6	4	7
5	22	16	7
6	21	17	7
7	29	22	7
8	24	1	11
9	19	2	11
10	25	4	11
11	25	6	11
12	15	7	11
13	28	9	11
14	19	13	11
15	20	16	11
16	26	16	11
17	19	17	11
18	21	19	11
19	26	22	11
20	30	28	11
21	14	5	15
22	27	15	15
23	29	26	15
24	13	2	15
25	17	2	15
26	21	3	15
27	16	6	15
28	11	7	15
29	28	7	15
30	15	9	15
31	27	2	18
32	19	3	18
33	26	4	18
34	26	6	18
35	12	8	18
36	13	3	20
37	29	5	20
38	11	10	20
39	15	11	20
40	25	8	21
41	20	5	22
42	23	6	22
43	28	11	22
44	28	14	22
45	26	15	22
46	30	11	25
47	25	12	25
48	30	14	25
49	25	23	25
50	26	9	25
51	18	13	25
52	23	16	25
53	29	9	26
54	27	17	26
55	18	2	28
56	27	11	28
57	29	14	28
58	24	20	28
59	17	10	29
60	23	1	30
61	24	5	30
62	29	28	30
63	15	4	30
64	17	11	30
65	12	4	31
66	27	4	31
67	21	10	31
68	20	1	33
69	18	12	33
70	23	20	33
71	23	8	35
72	30	10	36
73	27	18	36
74	27	12	44
75	10	3	45
76	18	3	45
