1	7	9	5
2	9	7	5
3	20	22	5
4	22	20	5
5	20	29	5
6	29	20	5
7	4	6	7
8	6	4	7
9	16	22	7
10	22	16	7
11	17	21	7
12	21	17	7
13	22	29	7
14	29	22	7
15	1	24	11
16	24	1	11
17	2	19	11
18	19	2	11
19	4	25	11
20	25	4	11
21	6	25	11
22	25	6	11
23	7	15	11
24	15	7	11
25	9	28	11
26	28	9	11
27	13	19	11
28	19	13	11
29	16	20	11
30	20	16	11
31	16	26	11
32	26	16	11
33	17	19	11
34	19	17	11
35	19	21	11
36	21	19	11
37	22	26	11
38	26	22	11
39	28	30	11
40	30	28	11
41	5	14	15
42	14	5	15
43	15	27	15
44	27	15	15
45	26	29	15
46	29	26	15
47	2	13	15
48	13	2	15
49	2	17	15
50	17	2	15
51	3	21	15
52	21	3	15
53	6	16	15
54	16	6	15
55	7	11	15
56	11	7	15
57	7	28	15
58	28	7	15
59	9	15	15
60	15	9	15
61	2	27	18
62	27	2	18
63	3	19	18
64	19	3	18
65	4	26	18
66	26	4	18
67	6	26	18
68	26	6	18
69	8	12	18
70	12	8	18
71	3	13	20
72	13	3	20
73	5	29	20
74	29	5	20
75	10	11	20
76	11	10	20
77	11	15	20
78	15	11	20
79	8	25	21
80	25	8	21
81	5	20	22
82	20	5	22
83	6	23	22
84	23	6	22
85	11	28	22
86	28	11	22
87	14	28	22
88	28	14	22
89	15	26	22
90	26	15	22
91	11	30	25
92	30	11	25
93	12	25	25
94	25	12	25
95	14	30	25
96	30	14	25
97	23	25	25
98	25	23	25
99	9	26	25
100	26	9	25
101	13	18	25
102	18	13	25
103	16	23	25
104	23	16	25
105	9	29	26
106	29	9	26
107	17	27	26
108	27	17	26
109	2	18	28
110	18	2	28
111	11	27	28
112	27	11	28
113	14	29	28
114	29	14	28
115	20	24	28
116	24	20	28
117	10	17	29
118	17	10	29
119	1	23	30
120	23	1	30
121	5	24	30
122	24	5	30
123	28	29	30
124	29	28	30
125	4	15	30
126	15	4	30
127	11	17	30
128	17	11	30
129	4	12	31
130	12	4	31
131	4	27	31
132	27	4	31
133	10	21	31
134	21	10	31
135	1	20	33
136	20	1	33
137	12	18	33
138	18	12	33
139	20	23	33
140	23	20	33
141	8	23	35
142	23	8	35
143	10	30	36
144	30	10	36
145	18	27	36
146	27	18	36
147	12	27	44
148	27	12	44
149	3	10	45
150	10	3	45
151	3	18	45
152	18	3	45
